Date,Close
1/2/2001 23:58:00,9470
1/3/2001 23:58:00,9500
1/4/2001 23:58:00,9450
1/5/2001 23:58:00,9475
1/8/2001 23:58:00,9470
1/9/2001 23:58:00,9485
1/10/2001 23:58:00,9500
1/11/2001 23:58:00,9600
1/12/2001 23:58:00,9575
1/15/2001 23:58:00,9445
1/16/2001 23:58:00,9435
1/17/2001 23:58:00,9390
1/22/2001 23:58:00,9300
1/23/2001 23:58:00,9301
1/24/2001 23:58:00,9300
1/25/2001 23:58:00,9400
1/26/2001 23:58:00,9400
1/29/2001 23:58:00,9401
1/30/2001 23:58:00,9395
1/31/2001 23:58:00,9390
2/1/2001 23:58:00,9500
2/2/2001 23:58:00,9501
2/5/2001 23:58:00,9501
2/6/2001 23:58:00,9585
2/7/2001 23:58:00,9601
2/8/2001 23:58:00,9400
2/9/2001 23:58:00,9501
2/13/2001 23:58:00,9550
2/14/2001 23:58:00,9550
2/15/2001 23:58:00,9550
2/16/2001 23:58:00,9550
2/19/2001 23:58:00,9600
2/20/2001 23:58:00,9580
2/21/2001 23:58:00,9575
2/22/2001 23:58:00,9601
2/23/2001 23:58:00,9601
2/26/2001 23:58:00,9600
2/27/2001 23:58:00,9810
2/28/2001 23:58:00,9810
3/1/2001 23:58:00,9805
3/2/2001 23:58:00,9825
3/5/2001 23:58:00,9810
3/6/2001 23:58:00,9800
3/7/2001 23:58:00,9830
3/8/2001 23:58:00,9850
3/13/2001 23:58:00,10225
3/14/2001 23:58:00,10075
3/15/2001 23:58:00,9825
3/16/2001 23:58:00,10200
3/19/2001 23:58:00,10410
3/20/2001 23:58:00,10300
3/21/2001 23:58:00,10400
3/22/2001 23:58:00,10380
3/23/2001 23:58:00,10375
3/26/2001 23:58:00,9815
3/27/2001 23:58:00,10400
3/28/2001 23:58:00,10370
3/29/2001 23:58:00,10400
3/30/2001 23:58:00,10400
4/2/2001 23:58:00,10410
4/3/2001 23:58:00,10425
4/4/2001 23:58:00,10555
4/5/2001 23:58:00,10700
4/6/2001 23:58:00,10800
4/9/2001 23:58:00,10800
4/10/2001 23:58:00,10600
4/11/2001 23:58:00,10550
4/12/2001 23:58:00,10601
4/13/2001 23:58:00,10600
4/17/2001 23:58:00,10800
4/18/2001 23:58:00,10900
4/19/2001 23:58:00,11050
4/23/2001 23:58:00,11800
5/1/2001 23:58:00,11150
5/2/2001 23:58:00,11150
5/3/2001 23:58:00,11040
5/4/2001 23:58:00,10900
5/7/2001 23:58:00,10900
5/8/2001 23:58:00,10925
5/9/2001 23:58:00,11050
5/10/2001 23:58:00,11140
5/11/2001 23:58:00,11250
5/14/2001 23:58:00,11375
5/15/2001 23:58:00,11375
7/12/2001 23:58:00,11350
7/13/2001 23:58:00,11325
7/16/2001 23:58:00,11330
7/17/2001 23:58:00,11330
7/18/2001 23:58:00,11260
7/19/2001 23:58:00,11240
7/20/2001 23:58:00,11130
8/24/2001 23:58:00,9995
10/16/2001 23:58:00,9972.3
10/17/2001 23:58:00,9998.3
10/18/2001 23:58:00,10018
10/19/2001 23:58:00,10079
10/22/2001 23:58:00,10099
10/23/2001 23:58:00,10157
10/24/2001 23:58:00,10216
10/25/2001 23:58:00,10253
10/26/2001 23:58:00,10249
10/29/2001 23:58:00,10257
10/30/2001 23:58:00,10373
10/31/2001 23:58:00,10448
11/1/2001 23:58:00,10365
11/2/2001 23:58:00,10649
11/5/2001 23:58:00,10899
11/6/2001 23:58:00,10818
11/7/2001 23:58:00,10637.1
11/8/2001 23:58:00,10444
11/9/2001 23:58:00,10376
11/12/2001 23:58:00,10610
11/13/2001 23:58:00,10669
11/14/2001 23:58:00,10626
11/15/2001 23:58:00,10621
11/16/2001 23:58:00,10629
11/19/2001 23:58:00,10559
11/20/2001 23:58:00,10518
11/22/2001 23:58:00,10522
11/23/2001 23:58:00,10466
11/26/2001 23:58:00,10350
11/27/2001 23:58:00,10430
11/28/2001 23:58:00,10384
11/29/2001 23:58:00,10398
11/30/2001 23:58:00,10448
12/3/2001 23:58:00,10426
12/4/2001 23:58:00,10456
12/5/2001 23:58:00,10461
12/6/2001 23:58:00,10371
12/7/2001 23:58:00,10335
12/10/2001 23:58:00,10221
12/11/2001 23:58:00,10143
12/12/2001 23:58:00,9997.2
